"Date","Source","Site ID","POC","Daily Max 1-hour SO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE","airnowval","aqsval"
"07/14/2001","AQS","360810124","1","5","ppb","7","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","5"
"07/15/2001","AQS","360810124","1","5","ppb","7","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","5"
"07/16/2001","AQS","360810124","1","8","ppb","11","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","8"
"07/17/2001","AQS","360810124","1","22","ppb","31","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","22"
"07/18/2001","AQS","360810124","1","6","ppb","9","QUEENS COLLEGE 2","22","92.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","6"
"07/19/2001","AQS","360810124","1","5","ppb","7","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","5"
"07/20/2001","AQS","360810124","1","7","ppb","10","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","7"
"07/21/2001","AQS","360810124","1","10","ppb","14","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","10"
"07/22/2001","AQS","360810124","1","10","ppb","14","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","10"
"07/23/2001","AQS","360810124","1","14","ppb","20","QUEENS COLLEGE 2","19","79.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","14"
"07/24/2001","AQS","360810124","1","10","ppb","14","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","10"
"07/25/2001","AQS","360810124","1","23","ppb","33","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","23"
"07/26/2001","AQS","360810124","1","14","ppb","20","QUEENS COLLEGE 2","20","83.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","14"
"07/27/2001","AQS","360810124","1","3","ppb","4","QUEENS COLLEGE 2","23","96.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","3"
"07/28/2001","AQS","360810124","1","9","ppb","13","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","9"
"07/29/2001","AQS","360810124","1","3","ppb","4","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","3"
"07/30/2001","AQS","360810124","1","6","ppb","9","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","6"
"07/31/2001","AQS","360810124","1","7","ppb","10","QUEENS COLLEGE 2","23","96.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","7"
"08/01/2001","AQS","360810124","1","19","ppb","27","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","19"
"08/02/2001","AQS","360810124","1","29","ppb","41","QUEENS COLLEGE 2","24","100.0000","42401","Sulfur dioxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.73614","-73.82153",".","29"
