"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2018","AQS","360810120","3","11","ug/m3 LC","46","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/02/2018","AQS","360810120","3","11.4","ug/m3 LC","48","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/03/2018","AQS","360810120","3","12.6","ug/m3 LC","52","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/04/2018","AQS","360810120","3","9.3","ug/m3 LC","39","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/05/2018","AQS","360810120","3","9","ug/m3 LC","38","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/06/2018","AQS","360810120","3","11.1","ug/m3 LC","46","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/07/2018","AQS","360810120","3","10.4","ug/m3 LC","43","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/08/2018","AQS","360810120","3","11.7","ug/m3 LC","49","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/09/2018","AQS","360810120","3","15.4","ug/m3 LC","58","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/10/2018","AQS","360810120","3","9","ug/m3 LC","38","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/11/2018","AQS","360810120","3","14.4","ug/m3 LC","56","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/12/2018","AQS","360810120","3","4.5","ug/m3 LC","19","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/13/2018","AQS","360810120","3","9.7","ug/m3 LC","40","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/14/2018","AQS","360810120","3","7.5","ug/m3 LC","31","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/15/2018","AQS","360810120","3","7.8","ug/m3 LC","33","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/16/2018","AQS","360810120","3","12.4","ug/m3 LC","52","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/17/2018","AQS","360810120","3","13","ug/m3 LC","53","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/18/2018","AQS","360810120","3","13.1","ug/m3 LC","53","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/19/2018","AQS","360810120","3","15.2","ug/m3 LC","58","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/20/2018","AQS","360810120","3","12.5","ug/m3 LC","52","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/21/2018","AQS","360810120","3","14.8","ug/m3 LC","57","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/22/2018","AQS","360810120","3","16.7","ug/m3 LC","61","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/23/2018","AQS","360810120","3","8.6","ug/m3 LC","36","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/24/2018","AQS","360810120","3","8.3","ug/m3 LC","35","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/25/2018","AQS","360810120","3","7.9","ug/m3 LC","33","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/26/2018","AQS","360810120","3","7.6","ug/m3 LC","32","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/27/2018","AQS","360810120","3","8","ug/m3 LC","33","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/28/2018","AQS","360810120","3","10.1","ug/m3 LC","42","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/29/2018","AQS","360810120","3","7.4","ug/m3 LC","31","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/30/2018","AQS","360810120","3","8.4","ug/m3 LC","35","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"01/31/2018","AQS","360810120","3","6.1","ug/m3 LC","25","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"02/01/2018","AQS","360810120","3","10","ug/m3 LC","42","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"02/02/2018","AQS","360810120","3","9.5","ug/m3 LC","40","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"02/03/2018","AQS","360810120","3","6.9","ug/m3 LC","29","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"02/04/2018","AQS","360810120","3","5.2","ug/m3 LC","22","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"02/05/2018","AQS","360810120","3","8.3","ug/m3 LC","35","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"02/06/2018","AQS","360810120","3","10","ug/m3 LC","42","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"02/07/2018","AQS","360810120","3","8.1","ug/m3 LC","34","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"02/08/2018","AQS","360810120","3","9.5","ug/m3 LC","40","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"02/09/2018","AQS","360810120","3","10.6","ug/m3 LC","44","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"02/10/2018","AQS","360810120","3","11.3","ug/m3 LC","47","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"02/11/2018","AQS","360810120","3","6.5","ug/m3 LC","27","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"02/12/2018","AQS","360810120","3","8.5","ug/m3 LC","35","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
"02/13/2018","AQS","360810120","3","6.1","ug/m3 LC","25","MASPETH LIBRARY","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","081","Queens","40.72698","-73.89313"
